source,text
Моя москва,"Очень удобно: оплатил ЕПД и передал показания счётчиков за пару минут."
Моя москва,"После обновления стало быстрее работать, особенно раздел «Дом»."
Моя москва,"Иногда вылетает при входе через Госуслуги, но в целом приложение классное."
Госуслуги Москвы,"Записалась к врачу без звонков и очередей — супер."
Госуслуги Москвы,"Слишком много разделов, не сразу понятно, где нужная услуга."
Госуслуги Москвы,"В пиковые часы подтормаживает, но задачи решает."
Наш город,"Подал заявку на неубранный двор — через день всё сделали."
Наш город,"Статус обращения обновляется медленно, непонятно, кто ответственный."
Наш город,"Хороший сервис, но хотелось бы больше фото-отчётов по итогам работ."
Активный гражданин,"Голосования интересные, нравится ощущение участия в городских решениях."
Активный гражданин,"Бонусы приятные, но иногда темы опросов кажутся формальными."
Активный гражданин,"Интерфейс простой и понятный — маме тоже поставил, ей зашло."
Электронный дом,"Удобно отправлять заявки в УК и смотреть историю обращений."
Электронный дом,"Часть функций спрятали глубоко в меню, пришлось искать."
Электронный дом,"Идея отличная, но не все дома подключены — это расстраивает."
Московский транспорт,"Точно показывает прибытие автобусов и МЦД, очень помогает каждый день."
Московский транспорт,"Иногда геолокация «прыгает» и маршрут строится криво."
Московский транспорт,"Лучшее приложение для поездок по городу: карты, уведомления и расписания на месте."
